公司名称 公司规模 岗位 公司位置 年薪 经验要求 basic ID
语核科技 人工智能服务,天使轮,15-50人 python工程师 无锡·锡山区 12k-22k 经验1-3年,本科 python工程师,无锡·锡山区 131
信创电子 IT技术服务｜咨询,不需要融资,50-150人 python开发工程师 上海·徐汇区 35k-55k 经验5-10年,本科 python开发工程师,上海·徐汇区 132
南京科澜特信息技术有... IT技术服务｜咨询,制造业,能源｜矿产｜环保,天使轮,少于15人 python开发工程师 南京·铁心桥 13k-15k 经验3-5年,本科 python开发工程师,南京·铁心桥 133
莱嗯信息技术 软件服务｜咨询,生活服务,专业服务｜咨询,未融资,15-50人 python开发工程师 成都·锦江区 13k-18k 经验3-5年,大专 python开发工程师,成都·锦江区 134
北纬四十度 软件服务｜咨询,IT技术服务｜咨询,贸易｜进出口,未融资,50-150人 python开发工程师 西安·未央区 9k-13k 经验3-5年,本科 python开发工程师,西安·未央区 135
JETTECH 金融,其他,上市公司,2000人以上 python开发 北京·北下关 15k-18k 经验3-5年,本科 python开发,北京·北下关 136
北京捷科 IT技术服务｜咨询,上市公司,2000人以上 python开发工程师 北京·望京 14k-17k 经验3-5年,本科 python开发工程师,北京·望京 137
鸾鸟网络 软件服务｜咨询,IT技术服务｜咨询,未融资,少于15人 python工程师 武汉·东亭 7k-10k 经验3-5年,本科 python工程师,武汉·东亭 138
展识科技 数据服务｜咨询,IT技术服务｜咨询,不需要融资,15-50人 python开发工程师 武汉·街道口 6k-12k 经验不限,本科 python开发工程师,武汉·街道口 139
卓曜智能 人工智能服务,智能硬件,制造业,未融资,15-50人 python开发工程师 苏州·昆山市 9k-18k 经验3-5年,本科 python开发工程师,苏州·昆山市 140
坤望私募基金 金融业,人工智能服务,软件服务｜咨询,未融资,少于15人 python开发工程师 上海·虹口区 15k-25k 经验1-3年,本科 python开发工程师,上海·虹口区 141
奥蓝网络 IT技术服务｜咨询,未融资,15-50人 python开发工程师 商丘·睢阳区 5k-10k 经验3-5年,大专 python开发工程师,商丘·睢阳区 142
云智矿安 人工智能服务,能源｜矿产｜环保,智能硬件,A轮,15-50人 python开发工程师 北京·朝外 18k-24k 经验3-5年,本科 python开发工程师,北京·朝外 143
云孚科技 人工智能服务,不需要融资,15-50人 python开发工程师 哈尔滨·革新 8k-16k 经验不限,本科 python开发工程师,哈尔滨·革新 144
中软国际科技服务有限公司 IT技术服务｜咨询,上市公司,2000人以上 python开发工程师 深圳·龙岗区 10k-18k 经验1-3年,本科 python开发工程师,深圳·龙岗区 145
华为技术有限公司 智能硬件,IT技术服务｜咨询,制造业,不需要融资,2000人以上 Python开发工程师 深圳·坂田 10k-15k 经验不限,本科 Python开发工程师,深圳·坂田 146
观源科技 信息安全,A轮,50-150人 python开发工程师 上海·闵行区 12k-24k 经验1-3年,本科 python开发工程师,上海·闵行区 147
同和科技 移动互联网,金融,不需要融资,500-2000人 python开发工程师 深圳·大冲 14k-19k 经验3-5年,大专 python开发工程师,深圳·大冲 148
途游 游戏,B轮,500-2000人 python开发工程师 北京·立水桥 18k-36k 经验不限,本科 python开发工程师,北京·立水桥 149
华为技术有限公司 智能硬件,IT技术服务｜咨询,制造业,不需要融资,2000人以上 python开发工程师 深圳·坂田 15k-30k 经验3-5年,本科 python开发工程师,深圳·坂田 150
长亮科技 人工智能服务,上市公司,2000人以上 python开发工程师 深圳·新洲 13k-20k 经验3-5年,本科 python开发工程师,深圳·新洲 151
南方报业 文化传媒,不需要融资,2000人以上 Python开发工程师 广州·越秀区 20k-40k 经验不限,本科 Python开发工程师,广州·越秀区 152
华为 IT技术服务｜咨询,智能硬件,网络通信,不需要融资,2000人以上 python开发工程师 西安·雁塔区 15k-30k 经验不限,本科 python开发工程师,西安·雁塔区 153
四川凯普顿信息技术股份有限公司 其他,上市公司,50-150人 python开发工程师 成都·双楠 18k-25k 经验3-5年,本科 python开发工程师,成都·双楠 154
北京瑞联 移动互联网,电商,D轮及以上,500-2000人 python开发工程师 成都·金牛区 10k-15k 经验不限,大专 python开发工程师,成都·金牛区 155
